"X","Y_true","Y_pred"
"pirkaala","பிற்கால","பிர்கால"
"bee","பீ","பிய்"
"kaapoolil","காபூலில்","காபோலில்"
"kaimari","கைமாறி","கைமாரி"
"moorthi","மூர்த்தி","மூர்தி"
"kollaadhavar","கொள்ளாதவர்","கொள்ளாதவர்"
"thogaiyin","தொகையின்","தொகையின்"
"anthoni","அந்தோனி","அந்தோணி"
"alaippu","அழைப்பு","அலைப்பு"
"saivath","சைவத்","சைவத்"
"vaiththiyanaatha","வைத்தியநாத","வைத்தியானத"
"soazharkalukku","சோழர்களுக்கு","சோழர்களுக்கு"
"goopee","கோபி","கோபே"
"paduthiya","படுத்திய","படுதிய"
"lakshmi","லட்சுமி","லாக்சி"
"muraimaiyai","முறைமையை","முறைமையை"
"thangiyulladhu","தங்கியுள்ளது","தங்கியுள்ளது"
"vanthiyaththevan","வந்தியத்தேவன்","வந்தியத்தவின்"
"thaervai","தேர்வை","தேர்வை"
"thalangkalil","பிற","தலங்களில்"
"paantavarkalil","பாண்டவர்களில்","பாண்டவர்களில்"
"aagivitum","ஆகிவிடும்","ஆகிவிடும்"
"meampaalap","மேம்பாலப்","மீம்பாலக்"
"seiyyappattapodhu","செய்யப்பட்டபோது","செய்யப்பட்டப்படு"
"poga","போக","போகா"
"naanchil","நாஞ்சில்","நான்சில்"
"amaiththu","அமைத்து","அமைத்து"
"pathinaoraavathu","பதினோராவது","பதினாராவது"
"pirasurangkal","பிரசுரங்கள்","பிரசுகங்கள்"
"padaitthu","படைத்து","படைத்து"
"kaappaatrtrik","காப்பாற்றிக்","காப்பாற்றிற்கு"
"idhoa","இதோ","இதோ"
"seidharth","சித்தார்த்","செய்தத்த்"
"periyaarukku","பெரியாருக்கு","பெரியாறுக்கு"
"sanggamikkum","சங்கமிக்கும்","சங்கமிக்கும்"
"santham","சாந்தம்","சந்தம்"
"solvadhu","சொல்வது","சொல்வது"
"corner","கார்னர்","கார்னர்"
"brammaththai","பிரம்மத்தை","பிரம்மத்தை"
"pasukkalil","பசுக்களில்","பசுக்களில்"
"nettrip","நெற்றிப்","நெற்றிப்"
"pukazhpettravai","புகழ்பெற்றவை","புகழ்பெற்றவை"
"laajic","லாஜிக்","லாசிக்"
"paaluuttigal","பாலூட்டிகள்","பாலுடிக்கள்"
"thandavaalanggal","தண்டவாளங்கள்","தண்டாவல்கள்கள்"
"vaathittathu","வாதிட்டது","வாதிட்டது"
"muslim","முசுலீம்","முஸ்லிம்"
"garg","கார்க்","கார்"
"visaiyin","விசையின்","விசையின்"
"vaethaththil","வேதத்தில்","வேதத்தில்"
"panimanai","பணிமனை","பணிமனை"
"vittal","பிறந்து","விட்டல்"
"poruppetru","பொறுப்பேற்று","பொறுப்பெற்று"
"maiyamaakavum","மையமாகவும்","மையமாகவும்"
"qolt","கோல்ட்","கால்ட்"
"thadaikalaith","தடைகளைத்","தடைகளைத்"
"yedhuvaaga","எதுவாக","எதுவாக"
"tamizhagatthai","தமிழகத்தை","தமிழகத்தை"
"varappoagum","வரப்போகும்","வரப்போகும்"
"thamilakap","தமிழகப்","தமிழககப்"
"kampan","கம்பன்","கம்பன்"
"munmadiriyai","முன்மாதிரியை","முன்னடிரையை"
"pootaan","பூடான்","பூட்டான்"
"ahmadabad","அகமதாபாத்","அகமாபப்ட"
"aarppaattanggalai","ஆர்ப்பாட்டங்களை","ஆற்பாட்டங்களி"
"thoguppin","தொகுப்பின்","தொகுப்பின்"
"laneaa","லேனா","லேனா"
"kadaisiyaaga","கடைசியாக","கடைசியாக"
"enchchi","எஞ்சி","எஞ்சி"
"ketapothu","கேட்டபோது","கெடப்போது"
"kitantanar","கிடந்தனர்","கிடாண்டனர்"
"chithirai","சித்திரை","சிதிரை"
"kanaththil","கணத்தில்","கணத்தில்"
"thadayangal","தடயங்கள்","தடைங்கள்"
"srinivaasan","ஸ்ரீநிவாசன்","ஸ்ரீனிவாசன்"
"adutthum","அடுத்தும்","அடுத்தும்"
"aneetaa","அனிதா","அணீதா"
"americaa","அமெரிக்கா","அமெரிக்கா"
"raajaraajan","ராஜராஜன்","ராஜராசன்"
"siththaantha","சைவ","சித்தாந்த"
"poluthupookku","பொழுதுபோக்கு","பொழுதுபோக்கு"
"vishaka","விஷாகா","விஷாக"
"nathigalum","நதிகளும்","நதிகளும்"
"kirubhai","கிருபை","கிருப்பை"
"pirandhapoadhu","பிறந்தபோது","பிறந்தபோது"
"mahadevi","மகாதேவி","மகாடிவி"
"microwsopht","மைக்ரோசாப்ட்","மிக்ரீஷிபா"
"shaavai","ஷாவை","சாவை"
"asoka","அசோகா","அசோக"
"calvin","கெல்வின்","கல்வின்"
"meengalaiyum","மீன்களையும்","மீங்களையும்"
"koappai","கோப்பை","கோப்பை"
"airoppiya","அய்ரோப்பிய","ஐரோப்பிய"
"aadukalil","ஆடுகளில்","ஆடுகளில்"
"boolaa","போலா","போலா"
"sikkanamaana","சிக்கனமான","சிக்கமானான"
"thambadhiyinar","தம்பதியினர்","தம்பதியினர்"
"vaakanangkalin","வாகனங்களின்","வாகஙங்களின்"
"vaaganagkalaik","வாகனங்களைக்","வாகங்களைகள்"
"donnie","டோனி","டொன்னி"
"paththaandukal","பத்தாண்டுகள்","பத்தாண்டுகள்"
"thuduppu","துடுப்பு","துடுப்பு"
"sangkar","பிரபு","சங்கர்"
"sivaperumane","சிவபெருமானே","சிவபெருமானி"
"aayvukkaaga","ஆய்வுக்காக","ஆய்வுக்காக"
"goalkalai","கோல்களை","கோல்களை"
"golda","கோல்ட்","கொல்ட"
"rishii","ரிஷி","ரிச்சி"
"kettal","கேட்டால்","கெட்டல்"
"karnannin","கர்ணனின்","கர்ணான்டின்"
"eesal","ஈசல்","ஈசல்"
"ariyappattathu","அறியப்பட்டது","அறியப்பட்டது"
"goud","குட்","கோட்"
"talaivarai","தலைவரை","தலைவரை"
"silika","சிலிக்கா","சிலிகா"
"baabaavin","பாபாவின்","பாபாவின்"
"pazhuvettaraiyar","பழுவேட்டரையர்","பழுவெட்டாட்டியர்"
"pirandhanar","பிறந்தனர்","பிறந்தனர்"
"thadayanggal","தடயங்கள்","தடைங்கள்"
"aneeta","அனிதா","அநீத"
"sangankal","சங்கங்கள்","சங்கங்கள்"
"moolzhgadikkappatta","மூழ்கடிக்கப்பட்ட","மூல்க்கபிக்கப்பட்ட"
"aangal","ஆண்கள்","ஆங்கள்"
"varaaga","வராக","வராக"
"maiyamaagavum","மையமாகவும்","மையமாகவும்"
"samaiththa","சமைத்த","சமைத்த"
"kilovukku","கிலோவுக்கு","கிளோவுக்கு"
"panguthaararkalaaka","பங்குதாரர்களாக","பங்குதாரர்களாக"
"yelimaiyaagak","எளிமையாகக்","எளிமையாகக்"
"sasanankal","சாசனங்கள்","சசலங்கள்"
"vanththanar","வந்தனர்","வந்தனர்"
"evaiyae","இவையே","இவையே"
"thalaynagaram","தலைநகரம்","தலைநகரம்"
"balaththa","பலத்த","பலத்த"
"mukamaaka","முகமாக","முகமாக"
"kaavalturaiyaal","காவல்துறையால்","காவல்துறையால்"
"kaathin","காதின்","காதின்"
"serbbiis","செர்பியா","சேர்ப்பிஸ்"
"inri","இன்றி","இன்றி"
"karunakaran","கருணாகரன்","கருநகரம்"
"nettri","நெற்றி","நெற்றி"
"ukanththavai","உகந்தவை","உகந்தவை"
"nadhigazhum","நதிகளும்","நதிகளும்"
"sudhthappaduththum","சுத்தப்படுத்தும்","சுத்தப்படுத்தும்"
"nootriyettu","நூற்றியெட்டு","நூற்றியுட்டு"
"kadarkaraiyin","கடற்கரையின்","கடற்கரையின்"
"kozhumbin","கொழும்பின்","கொழும்பின்"
"yoagam","யோகம்","யோகம்"
"thamilakatthaich","தமிழகத்தைச்","தமிழகத்தாச்"
"appakuthiin","அப்பகுதியின்","அப்பகுதியின்"
"thiraith","திரைத்","திரைத்"
"mulangka","முழங்க","முலங்க"
"inthniruvanam","இந்நிறுவனம்","இந்திரிவாமம்"
"kallurikazhilum","கல்லூரிகளிலும்","கள்ளுகிலளிலும்"
"palagaikal","பலகைகள்","பலகைகள்"
"thirumuluku","திருமுழுக்கு","திருமுளுக்கு"
"thaangak","தாங்கக்","தாங்கக்"
"tharunangalil","தருணங்களில்","தருணங்களில்"
"nilainiruththa","நிலைநிறுத்த","நிலைநிருந்த"
"oodakap","ஊடகப்","ஊடகப்"
"ulum","உலூம்","உழும்"
"amaricaa","அமெரிக்கா","அமரிக்கா"
"nii","நீ","நி"
"kutayyin","குடையின்","குடையின்"
"eeya","ஈய","ஈய"
"kampalattu","கம்பளத்து","கம்பலாட்டு"
"chuvarkal","சுவர்கள்","சுவர்கள்"
"vimaananggalin","விமானங்களின்","விமானங்களின்"
"piriththa","பிரித்த","பிரித்த"
"kalandhukolkiraargal","கலந்துகொள்கிறார்கள்","கலந்துக்குள்கிறார்கள்"
"kiyoobaavil","கியூபாவில்","கியோபாவில்"
"kyran","கிரண்","கிரான்"
"koottamum","கூட்டமும்","கூட்டமும்"
"ivaiyae","இவையே","இவையே"
"pankuthararkalin","பங்குதாரர்களின்","பங்குரதர்களின்"
"imaachchalap","இமாச்சலப்","இமாச்சலம்"
"veerzhchchikkum","வீழ்ச்சிக்கும்","வீர்ச்சிக்கும்"
"pirathyeagamaaga","பிரத்யேகமாக","பிரதியாககாக"
"piravaecha","பிரவேச","பிரசேஷ"
"vetrtrita","வெற்றிட","வெற்றிட"
"kavalaippatum","கவலைப்படும்","கவலைப்படும்"
"magizhchchi","மகிழ்ச்சி","மகிழ்ச்சி"
"microsopht","மைக்ரோசாப்ட்","மிக்ரீபிர்"
"odyssey","ஒடிசி","ஒடிச்சி"
"keelan","கேலன்","கீலன்"
"chozhargalin","சோழர்களின்","சொழர்களின்"
"siw","சிவ","சி"
"aliyum","அலியும்","அலியும்"
"kooppai","கோப்பை","கோப்பை"
"cholarkalin","சோழர்களின்","சொலர்களின்"
"vittaal","விட்டால்","விட்டால்"
"pathinezhaam","பதினேழாம்","பதினேழம்"
"srirangaththil","ஸ்ரீரங்கத்தில்","ஸ்ரீரங்கள்டில்"
"sooraavaligal","சூறாவளிகள்","சூராவலிகள்"
"kaanpiththathu","காண்பித்தது","காண்பித்தது"
"thaenkaaip","தேங்காய்ப்","தேங்காப்"
"kannaiyar","கன்னியர்","கண்ணையர்"
"kaithigalin","கைதிகளின்","கைதிகளின்"
"vimaanangalum","விமானங்களும்","விமானங்களும்"
"becky","பெக்கி","பெக்கி"
"puthuchchaeriyai","புதுச்சேரியை","புதுச்செரியை"
"baibil","பைபிள்","பைப்"
"seedharth","சித்தார்த்","சீத்து"
"soazhapuram","சோழபுரம்","சோழப்புமம்"
"seyalpatumpoothu","செயல்படும்போது","செயல்படும்போது"
"kuvinthathu","குவிந்தது","குவிந்தது"
"marine","மரைன்","மரின்"
"saamaaniya","சாமானிய","சாமானிய"
"kadithamum","கடிதமும்","கடிதமும்"
"sham","ஷாம்","சாம்"
"thokupin","தொகுப்பின்","தொகுப்பின்"
"senjchi","செஞ்சி","சென்சி"
"kuutattin","கூட்டத்தின்","கூட்டத்தின்"
"padala","படல","பட்டா"
"yure","யூரி","யூரி"
"sekaripputh","சேகரிப்புத்","சேகரிப்புத்"
"koppugalai","கோப்பைகளை","கோப்புகளை"
"pannirendaam","பன்னிரண்டாம்","பண்ணிருண்டாம்"
"aayiraththu","ஆயிரத்து","ஆய்ரத்து"
"neroo","நீரோ","நேரோ"
"segarippadhu","சேகரிப்பது","சேகரிப்பது"
"adankiyathu","அடங்கியது","அடங்கியது"
"seethakkathi","சீதக்காதி","சீதக்கதி"
"kuday","குடை","குடை"
"dakshinaamurthy","தட்சிணாமூர்த்தி","தாக்சினிந்தி"
"kuantam","குவாண்டம்","குண்டம்"
"thuvakathil","துவக்கத்தில்","துவகத்தில்"
"koolkalai","கோல்களை","கூல்களை"
"purikindranar","புரிகின்றனர்","புறிகின்றனர்"
"paiq","பேக்","பைக்"
"paariya","பாரிய","பாரிய"
"kalyaana","கல்யாண","கல்யான"
"ivaigalil","இவைகளில்","இவைகளில்"
"atepol","அதேபோல்","அடிபால்"
"kurukkum","குறுக்கும்","குறுக்கும்"
"kallurigazhilum","கல்லூரிகளிலும்","கள்ளுகிலளிலும்"
"koakila","கோகிலா","கோகில"
"chuthamaana","சுத்தமான","சுதமான"
"kuruvi","குருவி","குருவி"
"udpuram","உட்புறம்","உட்புரம்"
"vazhankunar","வழங்குநர்","வழங்குனர்"
"sangamekkum","சங்கமிக்கும்","சங்கம்குக்கும்"
"soolappattathu","சூழப்பட்டது","சூழப்பட்டது"
"seekraet","சீக்ரெட்","சீக்கேட்"
"kuuttangal","கூட்டங்கள்","கூட்டங்கள்"
"anthantha","அந்தந்த","அந்தன்த"
"veliyidappattana","வெளியிடப்பட்டன","வெளியிடப்பட்டன"
"pukazhpetra","புகழ்பெற்ற","புகழ்பெற்ற"
"vamsaththai","வம்சத்தை","வம்சத்தை"
"pataitthalapathi","படைத்தளபதி","படைத்தபப்தி"
"makilchchiyil","மகிழ்ச்சியில்","மகிழ்ச்சியில்"
"thaangkak","தாங்கக்","தாங்கக்"
"kalloorigalum","கல்லூரிகளும்","கள்ளோரிகளும்"
"thuvakamaga","துவக்கமாக","துவகமாக"
"pirabukkal","பிரபுக்கள்","பிரப்புகள்"
"thokaikku","தொகைக்கு","தொகைக்கு"
"covai","கோவை","கோவை"
"aarvaththai","ஆர்வத்தை","ஆர்வத்தை"
"cholargal","சோழர்கள்","சொலர்கள்"
"kuraindhae","குறைந்தே","குறைந்தே"
"vazhangkuvathudan","வழங்குவதுடன்","வழங்குவதுடன்"
"tuurbo","டர்போ","துர்பா"
"koottavum","கூட்டவும்","கூட்டவும்"
"nerri","நெற்றி","நேர்ரி"
"paavangalukku","பாவங்களுக்கு","பாவங்களுக்கு"
"quuantam","குவாண்டம்","குண்டம்"
"nathiyaiyum","நதியையும்","நதியையும்"
"adiiti","அதிதி","அடிடி"
"mukaththuvaaraththil","முகத்துவாரத்தில்","முகத்துவாரத்தில்"
"paigalil","பைகளில்","பைகளில்"
"pugaaril","புகாரில்","புகாரில்"
"azhagi","அழகி","அழகி"
"nanmaigazhai","நன்மைகளை","நன்மைகளை"
"madhdhiya","மத்திய","மத்திய"
"panbaadum","பண்பாடும்","பண்பாடும்"
"aalaiyam","ஆலையம்","ஆலையம்"
"saarathigal","சாரதிகள்","சாரதிகள்"
"viratham","விரதம்","விரதம்"
"uyirinamaaga","உயிரினமாக","உயிரினமாக"
"villaiyum","வில்லையும்","வில்லையும்"
"ethuvaaka","எதுவாக","எதுவாக"
"dhadchanaamoorthi","தட்சிணாமூர்த்தி","தட்சாமாந்தி"
"thanthira","தந்திர","தந்திர"
"agamathaabaath","அகமதாபாத்","அகமாதாத"
"ilatchiyaththirkum","இலட்சத்திற்கும்","இலட்சியத்திற்கும்"
"moondrilirundhu","மூன்றிலிருந்து","மூன்றிலிருந்து"
"soozhappattathu","சூழப்பட்டது","சூழப்பட்டது"
"untaanathu","உண்டானது","உண்டானது"
"vealaiyin","வேலையின்","வேளையின்"
"makizhchchiyudan","மகிழ்ச்சியுடன்","மகிழ்ச்சியுடன்"
"kidanta","கிடந்த","கிடாட்ட"
"muthaliyoar","முதலியோர்","முதலியோர்"
"beibale","பாபேல்","பெய்பலி"
"visaikalai","விசைகளை","விசைகளை"
"nisan","நிசான்","நிசன்"
"polanaruvai","பொலனறுவை","பொலனத்தியை"
"mikii","மிக்கி","மிகி"
"prabhu","பிரபு","பிரபு"
"sanggiliyai","சங்கிலியை","சங்கிலியை"
"siper","செய்பவர்","சிப்பர்"
"thozhilil","தொழிலில்","தொழிலில்"
"kitaikkaathu","கிடைக்காது","கிடைக்காது"
"loodhiana","லூதியானா","லோதியானா"
"paavankalukku","பாவங்களுக்கு","பாவங்களுக்கு"
"madhdhiyatharaik","மத்தியதரைக்","மத்தியதைகள்"
"kaithikalin","கைதிகளின்","கைதிகளின்"
"yokkiyamaana","யோக்கியமான","யோக்கியமான"
"kophi","கோபி","கோபி"
"pithon","பைதான்","பிதான்"
"vaelaikkup","வேலைக்குப்","வேளைக்குப்"
"brahmma","பிரம்ம","பிரம்மு"
"pakirathan","பகீரதன்","பகிரத்தான்"
"arivil","அறிவில்","அறிவில்"
"thuronar","துரோணர்","துரோனர்"
"chein","செயின்","சென்"
"seyarpaadu","செயற்பாடு","செயற்பாடு"
"adigalayum","அடிகளையும்","அடிகளையும்"
"athanathan","அதனதன்","அதனதான்"
"kidakkirathu","கிடக்கிறது","கிடக்கிறது"
"oththulaiyaamai","ஒத்துழையாமை","ஒத்துலையைனை"
"chikkanamaaka","சிக்கனமாக","சிக்கமாமக"
"myyamaaka","மையமாக","மியமாக"
"aalayankalai","ஆலயங்களை","ஆலையங்களை"
"irugik","இறுகிக்","இருகிக்"
"zeen","ஜென்","ஜீன்"
"karanamaakave","காரணமாகவே","காரணமாகவே"
"noidaa","நொய்டா","நோய்டா"
"kavalaiyae","கவலையே","கவலையே"
"saasanangal","சாசனங்கள்","சாசனங்கள்"
"neyargal","நேயர்கள்","நெயர்கள்"
"puthumaigal","புதுமைகள்","புதுமைகள்"
"beetless","பீட்டில்ஸ்","பிட்டாஸ்"
"goldan","கோல்டன்","கொல்டன்"
"thiruvarangam","திருவரங்கம்","திருவலங்கள்"
"titaniuumm","டைட்டானியம்","திடனிடும்"
"noolakaththirku","நூலகத்திற்கு","நூலத்தைற்கு"
"panigazhukku","பணிகளுக்கு","பணிகளுக்கு"
"gaurava","கௌரவ","குரவா"
"douuglass","டக்ளஸ்","டாக்லல்ஸ்"
"pataitthanar","படைத்தனர்","படைத்தனர்"
"saigai","சைகை","சைக்கை"
"kalwin","கெல்வின்","கல்வின்"
"vettridam","வெற்றிடம்","வெற்றிடம்"
"kizhar","கிழார்","கிழர்"
"virpathu","விற்பது","விற்பது"
"thirumangai","திருமங்கை","திருமங்கை"
"kaavalturaik","காவல்துறைக்","காவல்துறைக்"
"vazhangkunar","வழங்குநர்","வழங்குளர்"
"mahaalaksmi","மகாலட்சுமி","மகாலால்பி"
"miqii","மிக்கி","மிகி"
"adangiyulla","அடங்கியுள்ள","அடங்கியுள்ள"
"thodarpukal","தொடர்புகள்","தொடர்புகள்"
"kuuthu","கூத்து","குத்து"
"oothaa","ஊதா","ஓதா"
"kandarinththathu","கண்டறிந்தது","கண்டறித்துத்"
"matrtravarkalitam","மற்றவர்களிடம்","மற்றவர்களிடம்"
"pulampeyarnthu","புலம்பெயர்ந்து","புலம்பெயர்ந்து"
"thandanaiyilirundhu","தண்டனையிலிருந்து","தண்டனையிலிருந்து"
"jolyan","ஜாலியன்","ஜோலியன்"
"etharkaaga","எதற்காக","எதற்காக"
"seyalpadumpothu","செயல்படும்போது","செயல்படும்போது"
"muyandraal","முயன்றால்","முயன்றால்"
"sanchi","சாஞ்சி","சஞ்சி"
"vaazhvum","வாழ்வும்","வாழ்வும்"
"umai","உமை","உமை"
"vagaikalai","உணவு","வகைகளை"
"padipaiyum","படிப்பையும்","படிப்பையும்"
"chutthappadutthum","சுத்தப்படுத்தும்","சுத்தப்படுத்தும்"
"vaangkum","வாங்கும்","வாங்கும்"
"keemiyoo","கேமியோ","கீமியோ"
"evvithaththilum","எவ்விதத்திலும்","இவ்விதத்திலும்"
"koold","கோல்ட்","கோல்ட்"
"eevu","ஈவு","ஏவு"
"jayn","ஜென்","ஜென்"
"kaappaatrik","காப்பாற்றிக்","காப்பாற்றிக்"
"sreerankaththil","ஸ்ரீரங்கத்தில்","ஸ்ரீரக்கள்தில்"
"nadiperaadha","நடைபெறாத","நடிபெராத"
"indhuk","இந்துக்","இந்துக்"
"kitanku","கிடங்கு","கிடாங்கு"
"gunamaa","குணமா","குணமா"
"prachuram","பிரசுரம்","பிராஸ்டுமம்"
"sankamum","சங்கமம்","சங்கமும்"
"ashoka","அசோகா","அசோக"
"thambathiyinar","தம்பதியினர்","தம்பதியினர்"
"mamon","மேமன்","மாமன்"
"chittu","சிட்டு","சிட்டு"
"arivathu","அறிவது","அறிவது"
"duun","டூன்","டன்"
"goo","கூ","கோ"
"tharavin","தாராவின்","தரவின்"
"enkoa","எங்கோ","எங்கோ"
"panguthararkalaka","பங்குதாரர்களாக","பங்குதலர்களாக"
"panrikalai","பன்றிகளை","பன்றிகளை"
"guarrilla","கொரில்லா","கூறில்ல்லா"
"paththaandugalil","பத்தாண்டுகளில்","பத்தாண்டுகளில்"
"aniima","ஆன்மா","அணியா"
"virivaaga","விரிவாக","விரிவாக"
"haitrao","ஹைட்ரோ","ஹெற்றே"
"vetrtrida","வெற்றிட","வெற்றிட"
"aayvukku","ஆய்வுக்கு","ஆய்வுக்கு"
"noolagamum","நூலகமும்","நூலகமும்"
"nuzhaindhadhu","நுழைந்தது","நுழைந்தது"
"choathikkum","சோதிக்கும்","சோதிக்கும்"
"eavvitham","எவ்விதம்","எவ்விதம்"
"matrtravargal","மற்றவர்கள்","மற்றவர்கள்"
"padimathin","படிமத்தின்","படிமதின்"
"yoakkiyamaana","யோக்கியமான","யோக்கியமான"
"caent","சென்ட்","சென்"
"muyanraal","முயன்றால்","முயன்றால்"
"nikazhthakavu","நிகழ்தகவு","நிகழ்தகக்"
"seyalizhandhu","செயலிழந்து","செயலிழத்து"
"nayam","நயம்","நாயம்"
"chollutan","சொல்லுடன்","சொல்லுதன்"
"paaluravu","பாலுறவு","பாலுவரு"
"amerikkaavirku","அமெரிக்காவிற்கு","அமெரிக்காயிக்கு"
"kooltan","கோல்டன்","கோல்டன்"
"nigalvugalaiyum","நிகழ்வுகளையும்","நிகழ்குகளையும்"
"cameoo","கேமியோ","காமோ"
"daarwin","டார்வின்","தார்வின்"
"piranthapoothu","பிறந்தபோது","பிறந்தபோது"
"lakshmi","இலட்சுமி","லாக்சி"
"puthucheri","புதுச்சேரியில்","புதுசேசி"
"committeeyil","கமிட்டியில்","காம்மிட்தியில்"
"suvachikkum","சுவாசிக்கும்","சுவாசிக்கும்"
"naasaavil","நாசாவில்","நாசாவில்"
"thanakkaga","தனக்காக","தனக்கக"
"suvargal","சுவர்கள்","சுவர்கள்"
"suttrivara","சுற்றிவர","சுற்றிவர"
"tamizhagap","தமிழகப்","தமிழககப்"
"talaivanai","தலைவனை","தலைவனை"
"kayitrril","கயிற்றில்","கயிற்றில்"
"kaankirathu","காண்கிறது","காங்கிறது"
"thoarruviththavar","தோற்றுவித்தவர்","தோற்றுவித்தவர்"
