"X","Y_true","Y_pred"
"thoarruviththaar","தோற்றுவித்தார்","தோன்றுவித்தார்"
"piraroodu","பிறரோடு","பிரணோடு"
"kaidhiyaaka","கைதியாக","கைதியாக"
"surenderr","சரணடைய","சுரேண்டர்"
"muthaliyana","முதலியன","முதலியான"
"apinaya","அபிநய","அபிராய"
"nanmaiyae","நன்மையே","நர்மையே"
"mahaiana","மகாயான","மகானா"
"adankiya","அடங்கிய","அடங்கிய"
"poagi","போகி","போகி"
"kanetham","கணிதம்","கணிதல்"
"gita","கீதை","கிடா"
"kabulil","காபூலில்","கப்புலில்"
"illaiyena","இல்லையென","இல்லையான்"
"koophee","கோபி","கோபி"
"aayeena","ஆயின","ஆயோர"
"unarvaaga","உணர்வாக","உணர்வாக"
"coly","கோலி","சோலி"
"tholvikku","தோல்விக்கு","தெல்விக்கு"
"kathalukku","காதலுக்கு","கதவுக்கு"
"paguppaaivu","பகுப்பாய்வு","பகுப்பாவில்"
"thoalvikku","தோல்விக்கு","தோல்விக்கு"
"roadu","ரோடு","நோடு"
"deviyar","தேவியர்","டெவியன்"
"koovalanum","கோவலனும்","கோவமரும்"
"cooltt","கோல்ட்","சோட்ட்"
"maiyamaaga","மையமாக","மையலாக"
"miqey","மிக்கி","மிக்கி"
"lindaa","லிண்டா","மின்டா"
"paik","பேக்","பெக்"
"nilakkadalai","நிலக்கடலை","நிலக்கடலை"
"clive","கிளைவ்","சுவி"
"ketadhum","கேட்டதும்","கொடத்தும்"
"peruthal","பெறுதல்","பொருதல்"
"watar","வாட்டர்","வடட்"
"neervalam","நீர்வளம்","நீர்வலம்"
"payirkalil","பயிர்களில்","பயிற்களில்"
"pirkaala","பிற்கால","பின்கால"
"bee","பீ","போ"
"kaapoolil","காபூலில்","காபிலில்"
"kaimari","கைமாறி","கைலரி"
"moorthi","மூர்த்தி","மீந்தி"
"kollaadhavar","கொள்ளாதவர்","கொள்ளாதவர்"
"thogaiyin","தொகையின்","தெகையின்"
"anthoni","அந்தோனி","அந்தோணி"
"alaippu","அழைப்பு","அமைப்பு"
"saivath","சைவத்","சைவாத்"
"vaiththiyanaatha","வைத்தியநாத","வைத்தியராத"
"soazharkalukku","சோழர்களுக்கு","சூழங்களுக்கு"
"goopee","கோபி","கோபி"
"paduthiya","படுத்திய","படுத்திய"
"lakshmi","லட்சுமி","மக்ச்சி"
"muraimaiyai","முறைமையை","முறைமையை"
"thangiyulladhu","தங்கியுள்ளது","தங்கியுள்ளது"
"vanthiyaththevan","வந்தியத்தேவன்","வந்தியத்தியர்"
"thaervai","தேர்வை","தேர்வை"
"thalangkalil","பிற","தலங்களில்"
"paantavarkalil","பாண்டவர்களில்","பாண்டவர்களில்"
"aagivitum","ஆகிவிடும்","ஆகிவிடும்"
"meampaalap","மேம்பாலப்","மோல்பாளப்"
"seiyyappattapodhu","செய்யப்பட்டபோது","செய்யப்பட்டும்பது"
"poga","போக","பாக்கா"
"naanchil","நாஞ்சில்","நாண்சில்"
"amaiththu","அமைத்து","அமைத்து"
"pathinaoraavathu","பதினோராவது","பதினாராவது"
"pirasurangkal","பிரசுரங்கள்","பிரசுரங்கள்"
"padaitthu","படைத்து","படைத்து"
"kaappaatrtrik","காப்பாற்றிக்","காப்பாற்றிக்"
"idhoa","இதோ","இத்தோ"
"seidharth","சித்தார்த்","செய்தந்த்"
"periyaarukku","பெரியாருக்கு","பெரியாருக்கு"
"sanggamikkum","சங்கமிக்கும்","சங்களிக்கும்"
"santham","சாந்தம்","சந்தம்"
"solvadhu","சொல்வது","செல்வது"
"corner","கார்னர்","கான்னர்"
"brammaththai","பிரம்மத்தை","பிரம்மத்தை"
"pasukkalil","பசுக்களில்","பழுக்களில்"
"nettrip","நெற்றிப்","நெற்றிப்"
"pukazhpettravai","புகழ்பெற்றவை","புகல்பெட்டுவை"
"laajic","லாஜிக்","மாலில்"
"paaluuttigal","பாலூட்டிகள்","பாலுட்டிகள்"
"thandavaalanggal","தண்டவாளங்கள்","தண்டமாளர்கள்"
"vaathittathu","வாதிட்டது","வாதிட்டது"
"muslim","முசுலீம்","முசிலில்"
"garg","கார்க்","காங்க்"
"visaiyin","விசையின்","விசையின்"
"vaethaththil","வேதத்தில்","வேதத்தில்"
"panimanai","பணிமனை","பரிமனை"
"vittal","பிறந்து","விட்டம்"
"poruppetru","பொறுப்பேற்று","பெறுப்பெற்று"
"maiyamaakavum","மையமாகவும்","மையலாகவும்"
"qolt","கோல்ட்","கோட்"
"thadaikalaith","தடைகளைத்","தடைகளைத்"
"yedhuvaaga","எதுவாக","எதுவாக"
"tamizhagatthai","தமிழகத்தை","தமிழகத்தை"
"varappoagum","வரப்போகும்","வரப்போகும்"
"thamilakap","தமிழகப்","தமிழகப்"
"kampan","கம்பன்","கம்பர்"
"munmadiriyai","முன்மாதிரியை","முன்மடித்தையை"
"pootaan","பூடான்","பீடான்"
"ahmadabad","அகமதாபாத்","ஆலரபாட்"
"aarppaattanggalai","ஆர்ப்பாட்டங்களை","ஆற்ப்பாட்டங்களை"
"thoguppin","தொகுப்பின்","தொகுப்பின்"
"laneaa","லேனா","மனோ"
"kadaisiyaaga","கடைசியாக","கடைசியாக"
"enchchi","எஞ்சி","எஞ்சி"
"ketapothu","கேட்டபோது","கோடாபுத்து"
"kitantanar","கிடந்தனர்","கிடர்டரன்"
"chithirai","சித்திரை","சித்திரை"
"kanaththil","கணத்தில்","கணத்தில்"
"thadayangal","தடயங்கள்","தடவர்கள்"
"srinivaasan","ஸ்ரீநிவாசன்","ஸ்ரீரியாவன்"
"adutthum","அடுத்தும்","அடுத்தும்"
"aneetaa","அனிதா","அரோடா"
"americaa","அமெரிக்கா","அமெரிகா"
"raajaraajan","ராஜராஜன்","நாமராமன்"
"siththaantha","சைவ","சித்தாந்த"
"poluthupookku","பொழுதுபோக்கு","பொலுதுப்புக்கு"
"vishaka","விஷாகா","விசாக"
"nathigalum","நதிகளும்","நதிகளும்"
"kirubhai","கிருபை","கிருபை"
"pirandhapoadhu","பிறந்தபோது","பிரந்தபோது"
"mahadevi","மகாதேவி","மகாட்வி"
"microwsopht","மைக்ரோசாப்ட்","மிஸ்டோமிப்ட்ட்"
"shaavai","ஷாவை","சாவை"
"asoka","அசோகா","அசோக"
"calvin","கெல்வின்","சம்வின்"
"meengalaiyum","மீன்களையும்","மூர்களையும்"
"koappai","கோப்பை","கோப்பை"
"airoppiya","அய்ரோப்பிய","ஐரோப்பிய"
"aadukalil","ஆடுகளில்","ஆடுகளில்"
"boolaa","போலா","பூலா"
"sikkanamaana","சிக்கனமான","சிக்கரமான"
"thambadhiyinar","தம்பதியினர்","தம்பதியினர்"
"vaakanangkalin","வாகனங்களின்","வாகரங்களின்"
"vaaganagkalaik","வாகனங்களைக்","வாகரங்களைக்"
"donnie","டோனி","டென்னி"
"paththaandukal","பத்தாண்டுகள்","பத்தாண்டுகள்"
"thuduppu","துடுப்பு","துடுப்பு"
"sangkar","பிரபு","சங்கர்"
"sivaperumane","சிவபெருமானே","சிவபெருமான்"
"aayvukkaaga","ஆய்வுக்காக","ஆய்வுக்காக"
"goalkalai","கோல்களை","கோல்களை"
"golda","கோல்ட்","கொட்டா"
"rishii","ரிஷி","நிச்சி"
"kettal","கேட்டால்","கொட்டம்"
"karnannin","கர்ணனின்","கண்ணன்னின்"
"eesal","ஈசல்","ஈசம்"
"ariyappattathu","அறியப்பட்டது","அறியப்பட்டது"
"goud","குட்","கோட்"
"talaivarai","தலைவரை","தலைவரை"
"silika","சிலிக்கா","சிலிகா"
"baabaavin","பாபாவின்","பாபாவின்"
"pazhuvettaraiyar","பழுவேட்டரையர்","பழுவெட்டரியன்"
"pirandhanar","பிறந்தனர்","பிரந்தனர்"
"thadayanggal","தடயங்கள்","தடவங்கள்"
"aneeta","அனிதா","அரோட்டா"
"sangankal","சங்கங்கள்","சங்கங்கள்"
"moolzhgadikkappatta","மூழ்கடிக்கப்பட்ட","மூல்லிக்கப்பட்டர்க"
"aangal","ஆண்கள்","ஆங்கள்"
"varaaga","வராக","வராக"
"maiyamaagavum","மையமாகவும்","மையலாகவும்"
"samaiththa","சமைத்த","சலைத்த"
"kilovukku","கிலோவுக்கு","கிளிவுக்கு"
"panguthaararkalaaka","பங்குதாரர்களாக","பங்குறாரங்களாக"
"yelimaiyaagak","எளிமையாகக்","எளிமையாகக்"
"sasanankal","சாசனங்கள்","சாசரங்கள்"
"vanththanar","வந்தனர்","வந்தனர்"
"evaiyae","இவையே","இவையே"
"thalaynagaram","தலைநகரம்","தலைநகரம்"
"balaththa","பலத்த","பலத்த"
"mukamaaka","முகமாக","முகமாக"
"kaavalturaiyaal","காவல்துறையால்","காவல்டுறையால்"
"kaathin","காதின்","காதின்"
"serbbiis","செர்பியா","செர்ப்பில்"
"inri","இன்றி","இன்றி"
"karunakaran","கருணாகரன்","கருநகரர்"
"nettri","நெற்றி","நெற்றி"
"ukanththavai","உகந்தவை","உகர்த்தவை"
"nadhigazhum","நதிகளும்","நதிகளும்"
"sudhthappaduththum","சுத்தப்படுத்தும்","சுத்தப்படுத்தும்"
"nootriyettu","நூற்றியெட்டு","நூற்றியெட்டு"
"kadarkaraiyin","கடற்கரையின்","கடங்கரையின்"
"kozhumbin","கொழும்பின்","கொழும்பின்"
"yoagam","யோகம்","யோகம்"
"thamilakatthaich","தமிழகத்தைச்","தமிழகத்தைச்"
"appakuthiin","அப்பகுதியின்","அப்பகுதியின்"
"thiraith","திரைத்","திரைத்"
"mulangka","முழங்க","உள்ளங்க"
"inthniruvanam","இந்நிறுவனம்","இந்நிருந்தம்"
"kallurikazhilum","கல்லூரிகளிலும்","கல்லுறிகளிலும்"
"palagaikal","பலகைகள்","பலகைகள்"
"thirumuluku","திருமுழுக்கு","திருமுமுக்கு"
"thaangak","தாங்கக்","தாங்கக்"
"tharunangalil","தருணங்களில்","தருரங்களில்"
"nilainiruththa","நிலைநிறுத்த","நிலைநித்துத"
"oodakap","ஊடகப்","ஈடகப்"
"ulum","உலூம்","ஜூல்"
"amaricaa","அமெரிக்கா","அமரிசா"
"nii","நீ","ரிய்"
"kutayyin","குடையின்","குடையின்"
"eeya","ஈய","ஈயா"
"kampalattu","கம்பளத்து","கம்பவட்டு"
"chuvarkal","சுவர்கள்","சுவங்கள்"
"vimaananggalin","விமானங்களின்","விமாரங்களின்"
"piriththa","பிரித்த","பிரித்த"
"kalandhukolkiraargal","கலந்துகொள்கிறார்கள்","கலந்துகிக்கிறார்கள்"
"kiyoobaavil","கியூபாவில்","கியோபாவில்"
"kyran","கிரண்","கினான்"
"koottamum","கூட்டமும்","கோட்டமும்"
"ivaiyae","இவையே","இவையே"
"pankuthararkalin","பங்குதாரர்களின்","பங்குதாரங்களின்"
"imaachchalap","இமாச்சலப்","இலாச்சமப்"
"veerzhchchikkum","வீழ்ச்சிக்கும்","விர்ச்சிக்கும்"
"pirathyeagamaaga","பிரத்யேகமாக","பிரதிகமாகக"
"piravaecha","பிரவேச","பிரவேச"
"vetrtrita","வெற்றிட","வெற்றின"
"kavalaippatum","கவலைப்படும்","கவவைப்படும்"
"magizhchchi","மகிழ்ச்சி","மகிழ்ச்சி"
"microsopht","மைக்ரோசாப்ட்","மிஸ்டூர்ப்ப்"
"odyssey","ஒடிசி","எடிட்சி"
"keelan","கேலன்","கோலன்"
"chozhargalin","சோழர்களின்","சொழங்களின்"
"siw","சிவ","சி"
"aliyum","அலியும்","அலியும்"
"kooppai","கோப்பை","கோப்பை"
"cholarkalin","சோழர்களின்","செலங்களின்"
"vittaal","விட்டால்","விட்டால்"
"pathinezhaam","பதினேழாம்","பதினோளால்"
"srirangaththil","ஸ்ரீரங்கத்தில்","ஸ்ரீரர்கத்தில்"
"sooraavaligal","சூறாவளிகள்","சீராளவிகள்"
"kaanpiththathu","காண்பித்தது","காற்பித்தது"
"thaenkaaip","தேங்காய்ப்","தேர்காக்"
"kannaiyar","கன்னியர்","கண்ணையர்"
"kaithigalin","கைதிகளின்","கைதிகளின்"
"vimaanangalum","விமானங்களும்","விமாரங்களும்"
"becky","பெக்கி","பாக்கி"
"puthuchchaeriyai","புதுச்சேரியை","புதுத்சேனையை"
"baibil","பைபிள்","பைபிக்"
"seedharth","சித்தார்த்","சீதந்து"
"soazhapuram","சோழபுரம்","சோழபுரம்"
"seyalpatumpoothu","செயல்படும்போது","செயல்படுப்போது"
"kuvinthathu","குவிந்தது","குவிந்தது"
"marine","மரைன்","மாரிர்"
"saamaaniya","சாமானிய","சாமானிய"
"kadithamum","கடிதமும்","கடிதலும்"
"sham","ஷாம்","சால்"
"thokupin","தொகுப்பின்","தொகுப்பின்"
"senjchi","செஞ்சி","செர்ச்சி"
"kuutattin","கூட்டத்தின்","கூட்டத்தின்"
"padala","படல","பட்டா"
"yure","யூரி","யூர்"
"sekaripputh","சேகரிப்புத்","செகரிக்குத்"
"koppugalai","கோப்பைகளை","கோப்புகளை"
"pannirendaam","பன்னிரண்டாம்","பண்ணிரிந்தால்"
"aayiraththu","ஆயிரத்து","ஆய்யத்து"
"neroo","நீரோ","நெரோ"
"segarippadhu","சேகரிப்பது","செகரிப்பது"
"adankiyathu","அடங்கியது","அடங்கியது"
"seethakkathi","சீதக்காதி","சீதக்கத்தி"
"kuday","குடை","குடை"
"dakshinaamurthy","தட்சிணாமூர்த்தி","தக்சிலாந்தி"
"kuantam","குவாண்டம்","குண்டால்"
"thuvakathil","துவக்கத்தில்","துவகத்தில்"
"koolkalai","கோல்களை","கூல்களை"
"purikindranar","புரிகின்றனர்","புரிகின்றனர்"
"paiq","பேக்","பெக்"
"paariya","பாரிய","பாரிய"
"kalyaana","கல்யாண","கல்யான"
"ivaigalil","இவைகளில்","இவைகளில்"
"atepol","அதேபோல்","அதோப்"
"kurukkum","குறுக்கும்","குறுக்கும்"
"kallurigazhilum","கல்லூரிகளிலும்","கல்லுறிகளிலும்"
"koakila","கோகிலா","கோகில"
"chuthamaana","சுத்தமான","சுதலான"
"kuruvi","குருவி","குருவி"
"udpuram","உட்புறம்","உட்புரம்"
"vazhankunar","வழங்குநர்","வழங்குரன்"
"sangamekkum","சங்கமிக்கும்","சங்களுக்கும்"
"soolappattathu","சூழப்பட்டது","சூல்பப்பட்டது"
"seekraet","சீக்ரெட்","சிக்கோட்"
"kuuttangal","கூட்டங்கள்","கூட்டங்கள்"
"anthantha","அந்தந்த","அந்தந்த"
"veliyidappattana","வெளியிடப்பட்டன","வெளியிடப்பட்டன"
"pukazhpetra","புகழ்பெற்ற","புகல்பெற்ற"
"vamsaththai","வம்சத்தை","வல்சத்தை"
"pataitthalapathi","படைத்தளபதி","படைத்தப்படித்தி"
"makilchchiyil","மகிழ்ச்சியில்","மகிச்சியில்"
"thaangkak","தாங்கக்","தாங்கக்"
"kalloorigalum","கல்லூரிகளும்","கல்மீரிகளும்"
"thuvakamaga","துவக்கமாக","துவகாகக"
"pirabukkal","பிரபுக்கள்","பிரபுக்கள்"
"thokaikku","தொகைக்கு","தெகைக்கு"
"covai","கோவை","சேவை"
"aarvaththai","ஆர்வத்தை","ஆர்வத்தை"
"cholargal","சோழர்கள்","செலங்கள்"
"kuraindhae","குறைந்தே","குறைந்தே"
"vazhangkuvathudan","வழங்குவதுடன்","வழங்குவதுடன்"
"tuurbo","டர்போ","துருப்"
"koottavum","கூட்டவும்","கூட்டலும்"
"nerri","நெற்றி","நெர்ரி"
"paavangalukku","பாவங்களுக்கு","பாவங்களுக்கு"
"quuantam","குவாண்டம்","குளந்தம்"
"nathiyaiyum","நதியையும்","நதியையும்"
"adiiti","அதிதி","அடிடி"
"mukaththuvaaraththil","முகத்துவாரத்தில்","முகருவத்தானில்"
"paigalil","பைகளில்","பைக்கலில்"
"pugaaril","புகாரில்","புகாரில்"
"azhagi","அழகி","அழகி"
"nanmaigazhai","நன்மைகளை","நன்சைகளை"
"madhdhiya","மத்திய","மத்திய"
"panbaadum","பண்பாடும்","பண்பாடும்"
"aalaiyam","ஆலையம்","ஆலையம்"
"saarathigal","சாரதிகள்","சாரதிகள்"
"viratham","விரதம்","விரத்தம்"
"uyirinamaaga","உயிரினமாக","உயிரிரமாக"
"villaiyum","வில்லையும்","விள்ளையும்"
"ethuvaaka","எதுவாக","எதுவாக"
"dhadchanaamoorthi","தட்சிணாமூர்த்தி","தட்சமாரந்தி"
"thanthira","தந்திர","தந்திர"
"agamathaabaath","அகமதாபாத்","அகமதாகத்"
"ilatchiyaththirkum","இலட்சத்திற்கும்","இல்ச்சியத்திற்கும்"
"moondrilirundhu","மூன்றிலிருந்து","மூன்றிலிருந்து"
"soozhappattathu","சூழப்பட்டது","சூழப்பட்டது"
"untaanathu","உண்டானது","உண்டானது"
"vealaiyin","வேலையின்","வேளையின்"
"makizhchchiyudan","மகிழ்ச்சியுடன்","மகிழ்ச்சிட்டன்"
"kidanta","கிடந்த","கிடர்டா"
"muthaliyoar","முதலியோர்","முதலியார்"
"beibale","பாபேல்","பிபால்"
"visaikalai","விசைகளை","விசைகளை"
"nisan","நிசான்","ரிஸ்கர்"
"polanaruvai","பொலனறுவை","பெலரருமை"
"mikii","மிக்கி","மிக்கி"
"prabhu","பிரபு","பிராபு"
"sanggiliyai","சங்கிலியை","சங்கிலியை"
"siper","செய்பவர்","சிப்பர்"
"thozhilil","தொழிலில்","தொழிலில்"
"kitaikkaathu","கிடைக்காது","கிடைக்காது"
"loodhiana","லூதியானா","மீதியன"
"paavankalukku","பாவங்களுக்கு","பாவங்களுக்கு"
"madhdhiyatharaik","மத்தியதரைக்","மத்தியதானின்"
"kaithikalin","கைதிகளின்","கைதிகளின்"
"yokkiyamaana","யோக்கியமான","எக்கியமான"
"kophi","கோபி","கோபி"
"pithon","பைதான்","பித்தர்"
"vaelaikkup","வேலைக்குப்","வேளைக்குப்"
"brahmma","பிரம்ம","பிரேம்லா"
"pakirathan","பகீரதன்","பகிரத்தன்"
"arivil","அறிவில்","அரிவில்"
"thuronar","துரோணர்","துரேனன்"
"chein","செயின்","செய்"
"seyarpaadu","செயற்பாடு","செயற்பாடு"
"adigalayum","அடிகளையும்","அடிகளையும்"
"athanathan","அதனதன்","அதனதான்"
"kidakkirathu","கிடக்கிறது","கிடக்கினது"
"oththulaiyaamai","ஒத்துழையாமை","எத்துமையைலை"
"chikkanamaaka","சிக்கனமாக","சிக்கராமாக"
"myyamaaka","மையமாக","மியலாக"
"aalayankalai","ஆலயங்களை","ஆலயங்களை"
"irugik","இறுகிக்","இருகிக்"
"zeen","ஜென்","ஜீன்"
"karanamaakave","காரணமாகவே","காரணமாகவே"
"noidaa","நொய்டா","நெய்டா"
"kavalaiyae","கவலையே","கவலையே"
"saasanangal","சாசனங்கள்","சாசரங்கள்"
"neyargal","நேயர்கள்","நோயர்கள்"
"puthumaigal","புதுமைகள்","புதுமைகள்"
"beetless","பீட்டில்ஸ்","பீட்டாஸ்"
"goldan","கோல்டன்","காட்டன்"
"thiruvarangam","திருவரங்கம்","திருவனங்கள்"
"titaniuumm","டைட்டானியம்","திடரிலும்"
"noolakaththirku","நூலகத்திற்கு","நீலகத்திற்கு"
"panigazhukku","பணிகளுக்கு","பணிகளுக்கு"
"gaurava","கௌரவ","கல்லவ"
"douuglass","டக்ளஸ்","டெலுக்காஸ்"
"pataitthanar","படைத்தனர்","படைத்தனர்"
"saigai","சைகை","சைகை"
"kalwin","கெல்வின்","கல்வின்"
"vettridam","வெற்றிடம்","வெற்றிடம்"
"kizhar","கிழார்","கிழன்"
"virpathu","விற்பது","விற்பது"
"thirumangai","திருமங்கை","திருமங்கை"
"kaavalturaik","காவல்துறைக்","காவல்துறைக்"
"vazhangkunar","வழங்குநர்","வழங்குரர்"
"mahaalaksmi","மகாலட்சுமி","மகாகாச்சி"
"miqii","மிக்கி","மிக்கி"
"adangiyulla","அடங்கியுள்ள","அடங்கியுள்ள"
"thodarpukal","தொடர்புகள்","தொடர்புகள்"
"kuuthu","கூத்து","குது"
"oothaa","ஊதா","ஈதா"
"kandarinththathu","கண்டறிந்தது","கண்டனித்தது"
"matrtravarkalitam","மற்றவர்களிடம்","மற்றவர்களிடம்"
"pulampeyarnthu","புலம்பெயர்ந்து","புலம்பென்றத்து"
"thandanaiyilirundhu","தண்டனையிலிருந்து","தண்டனையிலிருந்து"
"jolyan","ஜாலியன்","ஜேலியன்"
"etharkaaga","எதற்காக","எதற்காக"
"seyalpadumpothu","செயல்படும்போது","செயல்படுப்போடு"
"muyandraal","முயன்றால்","முயற்றால்"
"sanchi","சாஞ்சி","சார்சி"
"vaazhvum","வாழ்வும்","வாழ்வும்"
"umai","உமை","உலை"
"vagaikalai","உணவு","வகைகளை"
"padipaiyum","படிப்பையும்","படிபையில்"
"chutthappadutthum","சுத்தப்படுத்தும்","சுட்தப்படுத்தும்"
"vaangkum","வாங்கும்","வாங்கும்"
"keemiyoo","கேமியோ","கூலியோ"
"evvithaththilum","எவ்விதத்திலும்","இவ்விதத்திலும்"
"koold","கோல்ட்","கோட்ட்"
"eevu","ஈவு","ஹால்"
"jayn","ஜென்","மேன்"
"kaappaatrik","காப்பாற்றிக்","காப்பாண்டிக்"
"sreerankaththil","ஸ்ரீரங்கத்தில்","ஸ்ரீரங்கத்தில்"
"nadiperaadha","நடைபெறாத","நடிபோராத"
"indhuk","இந்துக்","இந்துக்"
"kitanku","கிடங்கு","கிடங்கு"
"gunamaa","குணமா","குரமா"
"prachuram","பிரசுரம்","பிரச்சுரம்"
"sankamum","சங்கமம்","சங்களும்"
"ashoka","அசோகா","அசோக"
"thambathiyinar","தம்பதியினர்","தம்பதியினர்"
"mamon","மேமன்","மாலர்"
"chittu","சிட்டு","சிட்டு"
"arivathu","அறிவது","அறிவது"
"duun","டூன்","டர்"
"goo","கூ","கோ"
"tharavin","தாராவின்","தரவின்"
"enkoa","எங்கோ","எங்கோ"
"panguthararkalaka","பங்குதாரர்களாக","பங்குதரர்களாக"
"panrikalai","பன்றிகளை","பண்ணிகளை"
"guarrilla","கொரில்லா","குரர்நில்லா"
"paththaandugalil","பத்தாண்டுகளில்","பத்தாருக்களில்"
"aniima","ஆன்மா","அரியா"
"virivaaga","விரிவாக","விரிவாக"
"haitrao","ஹைட்ரோ","ஏய்த்தே"
"vetrtrida","வெற்றிட","வெற்றின"
"aayvukku","ஆய்வுக்கு","ஆய்வுக்கு"
"noolagamum","நூலகமும்","நீலகமும்"
"nuzhaindhadhu","நுழைந்தது","நுழைந்தது"
"choathikkum","சோதிக்கும்","சோதிக்கும்"
"eavvitham","எவ்விதம்","ஓவ்விதல்"
"matrtravargal","மற்றவர்கள்","மற்றவர்கள்"
"padimathin","படிமத்தின்","படிவத்தின்"
"yoakkiyamaana","யோக்கியமான","யாக்கிலமான"
"caent","சென்ட்","சேன்"
"muyanraal","முயன்றால்","முயற்றால்"
"nikazhthakavu","நிகழ்தகவு","நிகழ்கதால்"
"seyalizhandhu","செயலிழந்து","செயலில்வத்து"
"nayam","நயம்","நாயம்"
"chollutan","சொல்லுடன்","செல்லுடன்"
"paaluravu","பாலுறவு","பாலுரவு"
"amerikkaavirku","அமெரிக்காவிற்கு","அமெரிக்காலிக்கு"
"kooltan","கோல்டன்","கோட்டன்"
"nigalvugalaiyum","நிகழ்வுகளையும்","நிகழ்குகளையும்"
"cameoo","கேமியோ","சாலி"
"daarwin","டார்வின்","டார்வின்"
"piranthapoothu","பிறந்தபோது","பிரந்தபோது"
"lakshmi","இலட்சுமி","மக்ச்சி"
"puthucheri","புதுச்சேரியில்","புதுசெனி"
"committeeyil","கமிட்டியில்","செல்லிட்டியில்"
"suvachikkum","சுவாசிக்கும்","சுவமிக்கும்"
"naasaavil","நாசாவில்","நாளாவில்"
"thanakkaga","தனக்காக","தரக்காக"
"suvargal","சுவர்கள்","சுவங்கள்"
"suttrivara","சுற்றிவர","சுற்றியன"
"tamizhagap","தமிழகப்","தமிழராக்"
"talaivanai","தலைவனை","தலைவரை"
"kayitrril","கயிற்றில்","கயிற்றில்"
"kaankirathu","காண்கிறது","காங்கிறது"
"thoarruviththavar","தோற்றுவித்தவர்","தோன்றுவித்தலர்"
